"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000233558",2374.41183933932,-11.5328549235292,0.523510800772781,-22.0298318707178,1.49125780306171e-107,1.5652658065904e-105
"ENSG00000242071",14523.2743367221,-4.57985728574186,0.20816027197469,-22.0015915731448,2.78049139272892e-107,2.90496987313488e-105
"ENSG00000225151",443.721656323731,2.31334779155438,0.105268559316421,21.9756763707654,4.9216375906163e-107,5.11827629066534e-105
"ENSG00000219201",396.951519270151,-7.6604688786329,0.348743461264807,-21.9659140012268,6.10172093659096e-107,6.31640075119487e-105
"ENSG00000178146",337.704084326595,-7.70376136551935,0.351045154681657,-21.9452149183072,9.62120774051006e-107,9.91423721826897e-105
"ENSG00000186063",1295.90148430852,2.34147786429954,0.107118838303465,21.858693591002,6.42569603972218e-106,6.59130375129139e-104
"ENSG00000226268",587.686648383968,-7.75264524863976,0.354850472415643,-21.8476396434353,8.18556672223281e-106,8.35853774753972e-104
"ENSG00000118363",3265.71230928547,1.48768353819797,0.0681452534312467,21.8310661900894,1.1764442975671e-105,1.19589272356742e-103
"ENSG00000180389",1450.13329416274,-9.92304837001345,0.456235482158598,-21.7498391906397,6.93223157808114e-105,7.01523183957655e-103
"ENSG00000235489",964.148843880545,-6.35648036355442,0.293383045453197,-21.6661475912331,4.28111085196117e-104,4.3130280623307e-102
"ENSG00000227939",852.205207650455,-8.55516345330574,0.398429433378541,-21.4722175035137,2.83178905460999e-102,2.84022149312816e-100
"ENSG00000217416",176.269752325169,-5.81597229202725,0.271028878314178,-21.4588656684966,3.77398849314916e-102,3.7684778019866e-100
"ENSG00000256745",1128.50828843555,-10.1615640716772,0.475653506291317,-21.3633746777295,2.92869526319107e-101,2.91153594733184e-99
"ENSG00000241343",2222.38706974006,4.11134949453851,0.193027672663475,21.2992750614895,1.15291504379036e-100,1.14113306110601e-98
"ENSG00000238084",348.273236271397,-7.63063039516871,0.358546613399499,-21.2821153791419,1.66269133610668e-100,1.638513335455e-98
"ENSG00000215817",301.23199938881,-6.30745347821397,0.297399211736761,-21.2087094696032,7.93605579887517e-100,7.78665092231374e-98
"ENSG00000259790",1395.95401347124,-10.6493372272279,0.503148109386985,-21.165412387622,1.9901375959205e-99,1.94421797087177e-97
"ENSG00000221930",190.647328978871,-6.31193416003313,0.299328834404834,-21.0869566661808,1.04789768630603e-98,1.01930633995121e-96
"ENSG00000188985",1149.59794155117,-5.00299209726862,0.237889636541596,-21.030727399484,3.43345620712385e-98,3.32544232730317e-96
