Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
Ppbp	57.44798101120145	4.278107177628345	0.5501061658188792	1.0550595591302877e-17	1.5266936301372524e-15
Alas2	221.66365252486816	1.7911866851940077	0.21405124304899584	1.1555456307242152e-17	1.6544980704327134e-15
Erdr1	132.43068960633659	-2.2506580039571853	0.2733861278849922	1.292464880903192e-17	1.83126117812971e-15
Npm1	7132.268482757062	-0.5045912502949178	0.062413150799767926	1.4657430393865688e-17	2.0553646207975367e-15
Lrrc59	4654.8467779654875	-0.44806284711750677	0.054722144765551615	1.633959614060441e-17	2.2678692520867466e-15
Camp	337.728994831464	1.6035606130297604	0.19294508512684022	2.1403097126965967e-17	2.9406558295049605e-15
Pf4	221.086619046753	1.7650110978130584	0.21283390153877718	2.240363052909055e-17	3.047341824566897e-15
Itgb5	156.89019445161944	2.2074868451102465	0.2712522594282308	3.22814319087407e-17	4.347445909135555e-15
Bmpr1a	127.77865730414081	-3.9828195551919325	0.5326507487191396	4.109655824158281e-17	5.4803469137451895e-15
Sqle	1197.3632102189376	0.7162114131813949	0.09656627895330308	4.6592169351755856e-17	6.1528804613843024e-15
Prdx1	8012.15337802002	-0.579779763406238	0.07530297810362942	7.212354576245936e-17	9.432927590970888e-15
Col16a1	1951.7478835159611	-0.7183630551077749	0.09843957935223419	1.1174187061325975e-16	1.4475361181729137e-14
Aldoc	510.00770127220915	1.3095644753520193	0.16375667316394882	1.192346984449207e-16	1.530028649290388e-14
Pgam1	5331.365040669285	-0.41463574351563665	0.051888591024744975	1.3356641276379743e-16	1.697916211601096e-14
Clca3a1	270.76317200359085	-2.0700737508196054	0.2585227677007954	1.3620872391017977e-16	1.7154732061354308e-14
Tcp11l2	1207.2140980148847	0.8760185353901476	0.12193677996338216	1.4955914920288927e-16	1.8663335297777064e-14
Zfp36l2	23984.999971351914	0.41931577223861455	0.05273156590660913	1.715105960134832e-16	2.120806479068544e-14
Obsl1	1179.104985254516	0.9561184500927056	0.1315320008684707	1.9707897961689232e-16	2.4150164691432158e-14
Clnk	207.80947773120266	-1.7185431362009604	0.21395452793899883	1.9944039469646252e-16	2.4221323648761457e-14
Ltf	598.4161038447996	1.3231152495295684	0.16820285642551963	3.588029038265742e-16	4.3189708830522674e-14
Arid5a	685.2230683082424	-0.8828612213802002	0.12617263871880488	6.240797924110022e-16	7.446257312609168e-14
Tns1	1336.9383481559896	0.7813616498317899	0.11236425170178445	7.53999097584135e-16	8.918170195947307e-14
Shisa8	840.7664880032042	0.869037793164227	0.1252725271689968	8.768435857338001e-16	1.028174694237168e-13
Ybx3	6580.779049581746	-0.507956011708414	0.06723982672947905	9.165131660186443e-16	1.0655053063406495e-13
Srebf2	4730.458407409259	0.6163962785572951	0.08488449620683872	9.383562911225954e-16	1.0816544298177579e-13
Asns	717.0180066317348	-0.9719783111116829	0.13742423449850205	1.037169894070023e-15	1.185511336062223e-13
Nupr1	246.13799061011272	-2.09248395468778	0.2705938303239759	1.1391020915393707e-15	1.2911722207598767e-13
Ctse	385.89468053627076	1.244532260530887	0.163306274689086	1.1492393141642638e-15	1.2918969546497783e-13
Psmd13	2009.732464520691	-0.5479948050934159	0.07385239367943264	1.1727071781219103e-15	1.3074723800667397e-13
1700017B05Rik	2006.8512412853572	0.8535608999002052	0.12400649868168584	1.1961284095922112e-15	1.322742977827094e-13
Fbl	3414.96146345301	-0.4881756300169013	0.06453103870626212	1.2076625116038504e-15	1.3247278615189978e-13
Pygm	893.7279018354947	1.4753338771818563	0.1895391560733906	1.2852827158978595e-15	1.3985932401314148e-13
Pgk1	4707.852145588711	-0.507260977454444	0.06811218488418878	2.0925128173437977e-15	2.258917408056376e-13
Atp2a3	7196.9010518994155	0.42300123224900893	0.0555007112576253	2.2045239404210942e-15	2.3610972155596636e-13
Ccl4	366.5317556653107	1.3280494749607825	0.17466140345368447	2.64429722793738e-15	2.8099789761253316e-13
Slc25a5	10454.319722849856	-0.5542489433602319	0.07607041944518317	2.8127187956906378e-15	2.9657830278282214e-13
Socs3	2656.7846602378618	0.5571604894201199	0.07715643662053367	4.2737602379056416e-15	4.471668211999426e-13
Cycs	2239.474883528582	-0.49196085572894954	0.06673671575925982	4.875713885149023e-15	5.062554218763131e-13
Pdzk1ip1	1786.222404374525	1.0255026749706615	0.14721891096462436	5.07427856600635e-15	5.228813413243817e-13
Ppa1	2509.513761424976	-0.5333462056146426	0.07378606998520153	6.5079429695633884e-15	6.655717313684302e-13
Cct4	4994.782250741037	-0.4490403704511598	0.06048502285134653	6.7446129291494604e-15	6.846285452409774e-13
Tyms	1611.1307017358217	-0.5759564670715732	0.08147954522230466	8.811615333873822e-15	8.878191983063091e-13
Cpt1a	3601.5751859076695	-0.44414455176184114	0.060485828331239694	1.334201575261436e-14	1.334397781375445e-12
Erh	4121.686406950561	-0.5111966295616777	0.07121428779492729	1.4297385282099494e-14	1.4195112015118052e-12
Ldha	18700.51642355715	-0.519183297852663	0.0725847200977677	1.4811028427413027e-14	1.4598522367367536e-12
Ywhae	7912.980899417487	-0.3506530193707029	0.046999313482355844	1.831173231632642e-14	1.7791155926190854e-12
Atp5a1	17203.229726329835	-0.3459246849330543	0.046325317020750545	1.8305982489593818e-14	1.7791155926190854e-12
Mmp2	260.15439331765157	1.4922208788349898	0.20219156685007736	2.6854548866221502e-14	2.5906069055201763e-12
Cct3	6790.941111415276	-0.3833122259690051	0.052125425298397254	2.8374421678205792e-14	2.7179498849785573e-12
Fcgrt	793.124507621004	0.9128946205534766	0.14098398002686072	3.1510230885857253e-14	2.997217905660352e-12
Gatm	1435.9926983653145	-0.5802390046180482	0.08449683705581215	3.37033510944689e-14	3.1835623721317084e-12
P2rx1	801.8335651307341	0.7507241098900185	0.1170846636286129	4.267712670692412e-14	4.003408810121254e-12
Cd53	1182.003182889857	-0.8490643862333744	0.1334728004332456	4.460007782372315e-14	4.155138757248509e-12
Pa2g4	2804.2789224248027	-0.4846234998295577	0.06868518632892921	5.589210359954949e-14	5.1717305657215794e-12
