baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000185839	1974.06690355876	-9.89329352908273	0.318009668406702	-31.1100400772413	1.76189578548857e-212	3.31339184926005e-210
ENSG00000228232	9647.62575274862	-12.6384505641405	0.40781524674259	-30.9906279009665	7.20972689762051e-211	1.34464385866613e-208
ENSG00000241627	832.052325982718	-6.61749609532976	0.21363815787285	-30.9752534903819	1.16146904730775e-210	2.14843213037656e-208
ENSG00000230409	3429.23952064251	-7.02518709857588	0.228012143038406	-30.8105831775485	1.89076445809356e-208	3.4690147581949e-206
ENSG00000174977	1632.95574042569	-7.96568591024299	0.258784365031274	-30.7811714563217	4.68185327958722e-208	8.52059540003587e-206
ENSG00000224578	6384.55603259749	-5.59693775995338	0.182043423910204	-30.7450697187181	1.423163368685e-207	2.56932221928915e-205
ENSG00000233270	1612.08303191037	-8.50504573580952	0.277228564365664	-30.6788218424397	1.09095202522764e-206	1.95392971058033e-204
ENSG00000232112	2829.44569445708	2.61206384820132	0.0857078895588699	30.476352429693	5.36294942682997e-204	9.52958107994267e-202
ENSG00000215492	6132.82664210204	-5.22378866286448	0.171459994893213	-30.4665159130438	7.23962188322846e-204	1.27637927374076e-201
ENSG00000213442	19381.4298657524	-6.79428293554253	0.223392961385441	-30.4140421139757	3.58235748094268e-203	6.26690397460724e-201
ENSG00000114942	7566.8569116218	1.86939421873557	0.061914988182148	30.192918930001	2.93394842047113e-200	5.09310876959785e-198
ENSG00000196262	81706.3703372866	1.56445290909318	0.052090323261239	30.0334651648689	3.58989986622975e-198	6.18421910543563e-196
ENSG00000228305	1451.96849258411	-9.19502043527929	0.307379429081024	-29.9142348685133	1.28494273570126e-196	2.19676535731594e-194
ENSG00000229132	3704.55288861923	-11.0369245079834	0.37454249852905	-29.4677494578825	7.45874829675793e-191	1.26557573543561e-188
ENSG00000234009	1434.67379731816	-9.03996333577019	0.30736975413594	-29.4107120630097	4.00631780116801e-190	6.74705774768347e-188
ENSG00000253341	1912.84858437976	-8.67249847787969	0.297483505558682	-29.152871725081	7.68238098015659e-187	1.28420956725329e-184
ENSG00000146677	8324.30628564969	-12.7830636267148	0.439045120282137	-29.1156034680449	2.27823923583849e-186	3.78036947317406e-184
ENSG00000213430	2744.61408687571	-10.0264813692341	0.344409168368033	-29.1121209599156	2.52164502869206e-186	4.1537199534667e-184
