baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol
ENSG00000213598	1031.4761347603	2.54450268509777	1.39870979799412	2193.30512703567	0	0	RP11-112J1.1
ENSG00000213609	579.053311648098	1.78958496657028	1.32844643451098	2531.02591728331	0	0	RP11-170M17.2
ENSG00000213683	636.442069248755	0.858297665078186	1.67673645566973	2300.61549037046	0	0	AC002056.3
ENSG00000213740	952.19738443798	1.04971066937342	1.12305767881923	4931.76965993141	0	0	SERBP1P1
ENSG00000213790	963.6126007385	-0.701508051743444	1.66960834793499	5194.61039760346	0	0	OLA1P1
ENSG00000213856	274.177176152197	-2.0089101043562	1.57081816256105	1549.73421787797	0	0	VDAC1P2
ENSG00000213862	1470.78977582929	0.142919399613242	1.67331681161977	3854.25709807292	0	0	CTD-2270N23.1
ENSG00000213866	3327.33551312965	-0.0235708406996826	0.474292173848993	8629.33669134207	0	0	YBX1P10
ENSG00000214110	3797.25846401587	-7.9769460172554	0.745210810034867	2921.68077429988	0	0	LDHAP4
ENSG00000214182	6533.01162927876	-0.320580925352615	0.278668013234823	1694.36768033285	0	0	PTMAP5
ENSG00000214185	803.840133705613	0.299648328929673	1.67314889513256	3319.23371163457	0	0	XPOTP1
ENSG00000214192	486.92373429404	1.30988994653687	1.67844760194829	1883.69082887026	0	0	UBE2V1P2
ENSG00000214223	471.487642868328	-0.878335697863602	0.302988321780009	1701.37017357484	0	0	HNRNPA1P10
ENSG00000214389	4006.68605843131	0.380629698518535	0.27754916275921	2148.00411497818	0	0	RPS3AP26
ENSG00000214455	584.148994368275	1.02796849365429	0.313592892587458	2109.83998155414	0	0	RCN1P2
ENSG00000214485	9480.47427601809	0.0247702009427336	0.226255629592758	2731.37260984741	0	0	RPL7P1
ENSG00000214535	2917.18719779117	-0.752366826205588	1.35320523308107	4299.55069090359	0	0	RPS15AP1
ENSG00000214552	300.607801726724	0.675880876841727	1.67688938245351	1689.60596337686	0	0	COPS8P2
ENSG00000214558	280.732935377629	0.119917739164832	0.473855525135034	1693.32651242193	0	0	RP11-74E24.2
ENSG00000214784	1455.73272940488	0.164551945030191	0.295090504454524	4201.97423143296	0	0	AC010468.1
ENSG00000214820	241.469451325182	0.129805907558843	1.56860597710497	1595.17242269398	0	0	MPRIPP1
ENSG00000214881	383.831411320184	-1.53234726247864	1.67111102803481	3027.36461928195	0	0	TMEM14D
ENSG00000215086	754.312829469201	1.59204420944056	1.57373993661379	2074.44773685591	0	0	NPM1P24
ENSG00000215102	241.253660290476	-0.00242748240650103	1.67366907034712	1837.28135533498	0	0	TERF1P4
ENSG00000215105	819.693378812019	0.279583060637427	0.228230154515824	3764.39977742543	0	0	TTC3P1
ENSG00000215414	946.694158037768	0.719045036931421	1.32611244709754	3353.5999923299	0	0	PSMA6P1
ENSG00000215492	6132.82664210204	-0.833262826999484	0.153380129015187	3654.61079063649	0	0	HNRNPA1P7
ENSG00000215817	301.23199938881	0.822002018585856	0.511374125505127	1932.91925181651	0	0	ZC3H11B
ENSG00000215835	1648.63990524537	-0.463515362498267	1.67018246851249	5785.80025328909	0	0	RP11-9L18.2
ENSG00000216285	991.479201633905	-0.112239681672163	0.367930099464481	3983.5379687499	0	0	RP11-490H24.5
ENSG00000216657	608.278398052611	0.102005552978732	1.67482369629665	2549.55226606445	0	0	RP3-406P24.1
ENSG00000217094	805.882236417524	0.357508599428241	0.678227600612885	2885.88194589271	0	0	PPIAP31
ENSG00000217239	508.038245320857	-0.132114530438236	1.67609447357953	2191.61836808184	0	0	RP1-182O16.1
ENSG00000217241	1930.07106497217	-2.20000614909133	0.959520774506794	5188.08791106943	0	0	CBX3P9
ENSG00000217950	409.248761506344	0.103998766398773	1.33349684437712	1685.56718703361	0	0	AC073869.20
ENSG00000218175	10008.8050588765	0.469090426540277	0.917356784521476	14003.9929454928	0	0	AC016739.2
ENSG00000218227	12185.6127057004	-0.0415265117823976	0.543733353808248	8507.65765899392	0	0	RP11-889L3.1
ENSG00000218283	4246.20116988578	1.01779037538719	0.890419845524333	8704.51846507428	0	0	MORF4L1P1
ENSG00000218350	856.323539868228	-0.228526913984714	1.67299105327269	3370.04049379883	0	0	LYPLA1P3
ENSG00000218426	11880.6432535473	-0.349646171440351	0.238375362057548	12081.8223343192	0	0	RP11-475C16.1
ENSG00000219201	396.951519270151	0.0709932061541002	0.708736376653068	2826.69623666681	0	0	RP11-181C21.4
ENSG00000219682	372.776627293824	0.440640820752664	0.712177214277485	1620.9027776047	0	0	RP3-425P12.4
ENSG00000220472	5832.53816142538	-0.723949503252582	1.23515031233822	2529.19119898581	0	0	RP11-69L16.5
ENSG00000220842	1108.82266038183	-0.131792833620744	0.241009403815743	2060.34165404049	0	0	RP11-572P18.1
ENSG00000220848	986.173638592202	0.43153584941944	0.364163880869651	3118.38656802924	0	0	RPS18P9
ENSG00000223559	833.248984000658	0.0046414585101048	1.45062344971084	3459.15441203844	0	0	RP11-700P18.1
ENSG00000223612	1128.45759232529	-0.219708031129176	0.283707519551379	2943.22383756031	0	0	RP11-289I10.2
ENSG00000223723	405.088946525051	0.879185791442624	1.67775847463952	1829.19737151019	0	0	BX842568.2
ENSG00000223984	373.795924242371	2.41234525904746	1.39125073155395	2207.30888330013	0	0	HNRNPRP1
ENSG00000224126	286.644274904527	0.735480993292798	1.0063452515497	2120.63442582537	0	0	UBE2SP2
ENSG00000224411	2289.68279774407	0.338719708260003	0.890139978217521	3879.90083729171	0	0	RP11-1033A18.1
ENSG00000224546	599.759962483926	0.162789538573115	0.745440781623959	3210.08614810522	0	0	EIF4BP3
ENSG00000224550	1398.98229147314	-3.02537914434611	1.57358554577744	2365.97864516643	0	0	RP11-270C12.3
ENSG00000224578	6384.55603259749	-0.924421058764195	0.186955907309615	2678.19698542209	0	0	HNRNPA1P48
ENSG00000224631	12538.9456769406	-0.133386360999566	0.169919018704304	8154.18247705375	0	0	RP11-51O6.1
ENSG00000224668	283.172583828705	1.08063000180963	1.67646785769691	1709.41895812205	0	0	IPO8P1
ENSG00000224773	612.312078402203	-0.849758287017226	1.68546014015196	1522.02724278429	0	0	HSPA8P7
ENSG00000224785	254.263246252325	-0.661630117281463	1.67236029049991	2042.55084073737	0	0	AC006026.9
ENSG00000224831	1514.42926800227	0.956956198038012	0.234963010670082	3440.19587080859	0	0	RP11-651P23.4
ENSG00000224837	517.679312492269	-0.887941638081283	0.649601613660576	2646.10739954921	0	0	GCSHP5
ENSG00000224861	4417.43719763378	0.402996105492905	0.239799030415087	4938.58885002676	0	0	YBX1P1
ENSG00000225022	591.199050767679	-1.37777876629285	1.67610766117173	2289.6701853762	0	0	UBE2D3P1
ENSG00000225031	1512.62706814825	-0.244337015725347	0.334854748942429	3252.88610389134	0	0	EIF4BP7
ENSG00000225093	722.033986915005	-2.2678565712349	1.46106537540001	1862.73752339049	0	0	RPL3P7
ENSG00000225131	639.907630451147	-1.16957943711522	1.67343146431595	2891.42966037401	0	0	PSME2P2
ENSG00000225137	938.659548700976	-1.44605567269366	1.67147959373483	3984.06287067907	0	0	DYNC1I2P1
ENSG00000225159	1304.5723469996	2.580156020305	1.3493292266948	4820.87116549097	0	0	NPM1P39
ENSG00000225200	2156.84627776135	0.906374601067122	1.33651075751886	2543.63386443958	0	0	AB019441.29
ENSG00000225259	659.48769352744	-0.936809127845402	0.711421539082107	3181.07707165293	0	0	ST13P6
ENSG00000225373	1450.65890509883	-1.98210719008392	0.263392360928164	3374.43972051634	0	0	WASH5P
ENSG00000225573	1717.62860454654	0.53358594650799	1.33256598181029	2732.85797266396	0	0	RPL35P5
