Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
Psmd13	2009.732464520691	-0.5479948060746761	0.07385239392025529	1.1727071489175286e-15	1.3074723475062478e-13
1700017B05Rik	2006.8512412853572	0.8535608987070683	0.12400649671384344	1.196128405653655e-15	1.3227429734716272e-13
Fbl	3414.96146345301	-0.48817563043835166	0.064531038855951	1.2076624813134788e-15	1.3247278282924143e-13
Pygm	893.7279018354947	1.4753338755269247	0.18953915984239955	1.28528270971386e-15	1.398593233402234e-13
Pgk1	4707.852145588711	-0.5072609780348979	0.06811218507953881	2.092512780344987e-15	2.2589173681152787e-13
Atp2a3	7196.9010518994155	0.4230012323305522	0.055500711312735415	2.2045238833519953e-15	2.3610971544373105e-13
Ccl4	366.5317556653107	1.3280494686642212	0.1746614062653935	2.6442971934301602e-15	2.8099789394560187e-13
Slc25a5	10454.319722849856	-0.5542489444237333	0.07607041972085761	2.812718771305473e-15	2.96578300211605e-13
Socs3	2656.7846602378618	0.5571604905456963	0.07715643689268002	4.273760162410281e-15	4.4716681330080497e-13
Cycs	2239.474883528582	-0.49196085620843055	0.06673671592337056	4.8757137465010365e-15	5.062554074802069e-13
Pdzk1ip1	1786.222404374525	1.0255026679152548	0.1472189099047947	5.074278563432182e-15	5.228813410591253e-13
Ppa1	2509.513761424976	-0.5333462064883342	0.07378607023338321	6.5079428382162814e-15	6.655717179354726e-13
Cct4	4994.782250741037	-0.4490403706472756	0.06048502294882553	6.74461277480347e-15	6.846285295737075e-13
Tyms	1611.1307017358217	-0.5759564684632303	0.08147954550125247	8.811615139750943e-15	8.878191787473506e-13
Cpt1a	3601.5751859076695	-0.4441445519432559	0.06048582842051611	1.3342015390094546e-14	1.3343977451181325e-12
Erh	4121.686406950561	-0.5111966302237234	0.0712142880205824	1.4297385062616412e-14	1.4195111797204996e-12
Ldha	18700.51642355715	-0.5191832985873518	0.07258472034684804	1.4811028302319147e-14	1.459852224406848e-12
Ywhae	7912.980899417487	-0.3506530193229748	0.04699931347665258	1.8311731662155913e-14	1.779115529061748e-12
Atp5a1	17203.229726329835	-0.3459246848799225	0.046325317016702124	1.830598192210293e-14	1.779115529061748e-12
Mmp2	260.15439331765157	1.492220877677016	0.2021915712969893	2.685454859596288e-14	2.5906068794488445e-12
Cct3	6790.941111415276	-0.3833122259579628	0.05212542531803686	2.8374420864084386e-14	2.7179498069949002e-12
Fcgrt	793.124507621004	0.912894616895398	0.14098397768997847	3.1510230518321814e-14	2.9972178707007926e-12
Gatm	1435.9926983653145	-0.5802390061340583	0.0844968373498181	3.370335036963703e-14	3.1835623036652974e-12
P2rx1	801.8335651307341	0.7507241115819975	0.11708466242024329	4.2677125916927255e-14	4.0034087360141e-12
Cd53	1182.003182889857	-0.8490643850013295	0.13347279815278912	4.460007756851669e-14	4.155138733472356e-12
Pa2g4	2804.2789224248027	-0.4846235002909392	0.0686851865097083	5.589210242537553e-14	5.1717304570745434e-12
Pkm	20387.629221765346	-0.4354448430482019	0.060864337301919404	6.086249476479036e-14	5.593592255342422e-12
Coro2a	3783.671129540041	-0.43488991358938756	0.060839007560242374	6.416329137972922e-14	5.857376438570987e-12
Cdk1	1551.6499880116655	-0.5408718190349954	0.07856984258067097	6.606415043363365e-14	5.9906971613219e-12
Pink1	3630.721246547706	0.5657277826820155	0.08319574392219178	7.212461427703187e-14	6.496947042358857e-12
Fut8	6438.458362934389	-0.5701530814297234	0.08431758634751634	8.56923691827361e-14	7.668339510681424e-12
Aspa	141.86670855143117	-2.157799798363827	0.3033047969268099	9.818275844830554e-14	8.728639741267007e-12
Rrm1	6555.075029429871	-0.46178289561267205	0.06570745003249466	1.0022523630744877e-13	8.852361456194274e-12
Psmd2	5445.927417021519	-0.33883975158770685	0.046788969871721285	1.0584535607565047e-13	9.288442150587082e-12
Nme2	2325.1644722100177	-0.7968752142640637	0.12791866531552515	1.0795063292355961e-13	9.41246480145037e-12
Nrk	125.18889248706763	2.9598242719187784	0.45071701069574555	1.2904090529679258e-13	1.117970951494887e-11
Cx3cl1	283.7152700722512	1.7717919222516225	0.24692346381210936	1.3075795621608115e-13	1.1256770382602125e-11
Noc4l	1126.4692324170705	-0.699729342197453	0.11057645291074115	1.3904102987596447e-13	1.1846378861377028e-11
Srsf5	5474.4307127875645	0.4645638809610965	0.06660371582868303	1.3934867062346157e-13	1.1846378861377028e-11
Prpf31	1739.4840466266305	-0.5117401148447895	0.07513099965248497	1.9121126562535492e-13	1.6154382826311042e-11
Mybbp1a	6126.248215271189	-0.3864159388065218	0.05455613949391073	1.986145175142335e-13	1.6676263377954346e-11
Nme1	2504.9566684770466	-0.6068501555435036	0.09300682225886574	2.0276224106565825e-13	1.688460492888716e-11
Plxnb2	1550.745971673334	-0.6023084997369821	0.09212545907767626	2.035785331817008e-13	1.688460492888716e-11
Scd1	150.52749072207774	-2.2061655440744605	0.3160908475914247	2.216909297479166e-13	1.8275394099582798e-11
Pdk2	708.1951125446878	0.8165848236811059	0.13378194527098428	2.365800580282666e-13	1.9385312947593264e-11
Mmp9	98.46694488828277	2.0367797217329247	0.2898880127910757	2.4951751083572175e-13	2.0322977140044835e-11
Mllt3	1699.2100326703887	0.7043612493663698	0.11389239815077117	3.325977081124867e-13	2.6928535867535978e-11
Evc2	281.18748195151227	-1.8903705735357899	0.26945700489258223	3.5341319138800907e-13	2.8444533900944967e-11
Osgin1	665.2144000363802	1.1167662505017855	0.171084201710565	3.622714827567502e-13	2.8985980637984216e-11
Jup	597.3296959470875	0.9381323511908963	0.15344483019161445	4.320511491330071e-13	3.4367015967878143e-11
Tcp1	4065.760740304288	-0.4313647756002807	0.06263971634089215	4.3587412116851344e-13	3.4469533698454184e-11
Lpin1	784.0052348196314	0.9143454182930933	0.1512300854126691	5.267880974621872e-13	4.1418333535726423e-11
Rhbdf1	193.39035700690425	2.302117993235243	0.3388809331173798	5.876398365416435e-13	4.593722446344503e-11
Lyz2	4934.4137043010105	0.5475624415905209	0.08385308274687625	6.45608004615729e-13	5.018034330733226e-11
Hspa9	6211.221314967831	-0.37354956494066055	0.05397264878726581	7.325200235877047e-13	5.6612144095681586e-11
Gfi1b	1348.4609855637755	0.5816207365458909	0.09085853495899185	7.615140114066875e-13	5.852041572403256e-11
Aldh18a1	2888.681404921227	-0.4269976014320267	0.06266620266817742	7.696981871662742e-13	5.88170491114363e-11
Rasa3	4491.35363819792	0.3889915926462176	0.056490064357245455	7.776072607543063e-13	5.90894634680451e-11
Hnrnpab	14506.80475720586	-0.3103240907795985	0.0443778836166373	8.360914629503768e-13	6.31806448836168e-11
Mif	4421.0115503580055	-0.6922464630343087	0.11426898800235652	8.925057295966835e-13	6.70710659335585e-11
Serpinf1	1657.0230727787462	0.6699916462473557	0.10984208762006688	9.788551853702421e-13	7.315597929343975e-11
Serpinb1a	2097.2328263243894	-0.46469162679804876	0.0694754156660037	1.0128998080713761e-12	7.528668409501015e-11
Vwf	1766.552493781477	0.790689276597883	0.13456204569224392	1.0848908693608013e-12	8.019937828829141e-11
Mafk	1373.738008627603	0.6091956273904613	0.09755774287965385	1.207642302972523e-12	8.879108435152572e-11
Birc5	1201.2975590400258	-0.5779831113975924	0.09120107627615179	1.2410678038292626e-12	9.075808746067542e-11
Il1r1	406.5858336176932	-1.2632917928515985	0.19118752201609754	1.263424560601766e-12	9.189893515136481e-11
Gm16548	151.43849727332162	-1.7455588596165204	0.25526950433648676	1.3965146583920805e-12	1.0103932118855893e-10
Tinagl1	577.2237028117052	1.4943880532446931	0.21985680141095035	1.4736515816146578e-12	1.0605613128636282e-10
Malat1	5806.943074326549	0.6657135768989214	0.1102057869422421	1.5270995866530153e-12	1.0932425567186482e-10
Arrb1	1143.0146670223169	0.6129798734025721	0.09894790634461409	1.53632076225581e-12	1.094085602523745e-10
Gart	4482.786679291749	-0.36935297621525537	0.05425543222866937	1.6967375417786643e-12	1.2020325022538225e-10
Furin	1790.4894472568344	0.5175104064149898	0.08003775334445225	1.7609531060162046e-12	1.2410613548203324e-10
Hist1h2ab	995.2655234112192	-0.7880925934673981	0.13590652946655524	1.7794006730688698e-12	1.2475983482001424e-10
Ccnb1	1712.8238739697829	-0.567092300739425	0.08981230032445632	1.793863198247364e-12	1.2512885755159305e-10
Itgb2	717.8136312707063	0.7393592345663008	0.12640180536606005	1.8343745741362403e-12	1.2730185182347518e-10
Acadl	2625.4449812043686	-0.48141740503830643	0.07348140797037506	1.918068859418095e-12	1.3243437881119254e-10
Ccrl2	714.3703075725648	0.7434177094004301	0.127454501897547	1.954110185523092e-12	1.3424144819941968e-10
Cad	4497.549248696672	-0.4418956572882292	0.0667302828836972	2.2797140386541877e-12	1.558224640893179e-10
Cat	2729.308945372017	0.40972696779556544	0.06140375474296452	2.57996284036193e-12	1.7546327277301487e-10
Nwd1	665.6793788573295	0.8065129416817344	0.14078548588526638	2.5958178841945702e-12	1.7566325801400272e-10
Podxl	264.7096338793722	-1.358203318826403	0.2060727721793895	2.9502354056209184e-12	1.9865892072898878e-10
Trap1	2909.2488905056057	-0.42108637597295595	0.06381751784548848	3.637345756406098e-12	2.437200836385997e-10
Gm5148	900.5323398689898	23.870000416707143	3.5118213393867865	3.888037002959872e-12	2.592405848738244e-10
